Postcode,Car travel time to whiteknights,Public transport time to whiteknights,Walking to whiteknights
RG1 3NB,"2.4 km , 6 mins","1.3 km , 16 mins","1.3 km , 16 mins"
RG1 3ND,"1.9 km , 5 mins","1.2 km , 14 mins","1.2 km , 14 mins"
RG1 3NE,"1.9 km , 5 mins","1.1 km , 14 mins","1.1 km , 14 mins"
RG1 3NF,"2.2 km , 5 mins","1.3 km , 16 mins","1.3 km , 16 mins"
RG1 3NH,"2.1 km , 6 mins","1.3 km , 16 mins","1.3 km , 16 mins"
RG1 3NJ,"2.1 km , 5 mins","1.1 km , 14 mins","1.1 km , 14 mins"
RG1 3NL,"2.2 km , 6 mins","1.2 km , 15 mins","1.2 km , 15 mins"
RG1 3NN,"2.2 km , 6 mins","1.2 km , 14 mins","1.2 km , 14 mins"
RG1 3NQ,"2.1 km , 5 mins","1.2 km , 15 mins","1.2 km , 15 mins"
RG1 3NU,"2.1 km , 4 mins","1.3 km , 16 mins","1.3 km , 16 mins"
RG1 3NX,"2.1 km , 4 mins","1.4 km , 12 mins","1.3 km , 16 mins"
RG1 3NY,"2.0 km , 4 mins","1.2 km , 14 mins","1.2 km , 14 mins"
RG1 3NZ,"1.8 km , 3 mins","1.0 km , 12 mins","1.0 km , 12 mins"
RG1 3PA,"1.7 km , 3 mins","0.9 km , 11 mins","0.9 km , 11 mins"
RG45 6EX,"19.7 km , 19 mins","21.1 km , 1 hour 0 mins","15.9 km , 3 hours 16 mins"
RG25 3BD,"51.1 km , 49 mins","46.2 km , 1 hour 32 mins","38.4 km , 7 hours 48 mins"
RG12 8SG,"16.5 km , 16 mins","20.4 km , 1 hour 9 mins","16.3 km , 3 hours 20 mins"
RG12 7JJ,"18.0 km , 17 mins","22.1 km , 1 hour 14 mins","17.4 km , 3 hours 34 mins"
